id;first_name;last_name;email;twitter;bio
1;Bianka;Thompson;Tiara95@gmail.com;attitude-oriented;array Junctions District
2;Eduardo;Schmitt;Bria.Bechtelar18@hotmail.com;TCP Administrator Future;Facilitator
3;Charlotte;Connelly;Deanna.Hoeger@hotmail.com;input relationships Personal;object-oriented Micronesia Fully-configurable
4;Shana;Hessel;Carolanne.Bernhard@hotmail.com;interactive methodologies;Handmade
5;Heloise;Bogisich;Missouri_Haley65@hotmail.com;Coves B2C;Card Research
6;Horacio;Kulas;Scotty.Kshlerin@yahoo.com;hybrid Persistent Shoes;Vietnam projection
7;Sonny;Schinner;Laurel.Wilderman66@gmail.com;Program cross-platform Springs;Mouse Seychelles Rustic
8;Cathrine;Howell;Sterling.Stroman@yahoo.com;reboot Facilitator;Kids
9;Oleta;Goodwin;Marisol_DuBuque@gmail.com;Track generating;Washington Refined
10;Sophie;Schmidt;Andrew.Homenick70@hotmail.com;Springs Wyoming;secondary initiatives Tennessee
